gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,0,0,13,1,0.0,DSL,0.0,1.0,0.0,1.0,1.0,1.0,Month-to-month,0,Mailed check,80.685,931.55,0.0
Female,0,1,0,3,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Credit card (automatic),82.665,216.75,1.0
Female,0,0,0,29,1,1.0,DSL,1.0,1.0,0.0,1.0,0.0,0.0,Month-to-month,0,Mailed check,74.19500000000001,1801.1,0.0
Female,0,0,0,56,1,0.0,Fiber optic,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,81.235,4092.85,1.0
Male,0,1,0,50,1,1.0,Fiber optic,1.0,0.0,1.0,0.0,1.0,1.0,One year,1,Electronic check,114.34500000000001,5231.3,0.0
Male,1,1,0,23,1,0.0,Fiber optic,1.0,1.0,0.0,0.0,0.0,1.0,Month-to-month,1,Electronic check,99.00000000000001,2024.1,0.0
Male,0,1,0,3,0,0.0,DSL,0.0,0.0,0.0,0.0,0.0,1.0,Month-to-month,1,Electronic check,38.665,99.75,1.0
Male,1,1,0,44,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,0.0,1.0,One year,0,Mailed check,97.24000000000001,3912.9,1.0
Male,0,0,0,1,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Electronic check,77.44000000000001,70.4,1.0
Male,1,1,0,7,1,1.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,82.94000000000001,533.05,0.0
Female,1,1,1,59,1,1.0,Fiber optic,0.0,0.0,1.0,0.0,0.0,1.0,Month-to-month,1,Credit card (automatic),97.62500000000001,5348.65,0.0
Female,0,1,0,33,1,0.0,Fiber optic,1.0,0.0,1.0,1.0,1.0,1.0,One year,1,Electronic check,114.12500000000001,3361.05,1.0
Female,0,0,0,35,1,1.0,Fiber optic,0.0,0.0,0.0,1.0,0.0,0.0,Month-to-month,0,Credit card (automatic),88.055,2835.9,0.0
Male,0,0,0,1,1,1.0,DSL,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,0,Electronic check,59.730000000000004,54.3,0.0
Female,0,0,0,32,1,1.0,Fiber optic,0.0,1.0,1.0,0.0,1.0,1.0,One year,1,Credit card (automatic),114.45500000000001,3416.85,0.0
Female,0,1,1,24,1,1.0,DSL,1.0,1.0,1.0,0.0,0.0,0.0,Two year,0,Electronic check,70.785,1558.65,0.0
Male,0,0,0,70,0,0.0,DSL,1.0,0.0,1.0,1.0,0.0,1.0,Two year,0,Bank transfer (automatic),53.24,3442.8,0.0
Male,0,0,0,13,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,1,Electronic check,100.21000000000001,1135.7,1.0
Female,0,0,0,1,1,0.0,Fiber optic,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,83.27000000000001,75.7,1.0
Female,1,1,0,28,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Mailed check,28.270000000000003,734.6,0.0
Male,0,0,1,1,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Mailed check,21.505000000000003,19.55,0.0
Male,0,0,1,31,0,0.0,DSL,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Credit card (automatic),27.500000000000004,789.2,0.0
Female,0,0,0,28,1,0.0,DSL,1.0,1.0,0.0,1.0,0.0,0.0,One year,1,Electronic check,65.89,1654.7,0.0
Male,0,0,0,1,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Electronic check,76.94500000000001,69.95,1.0
Male,0,1,1,22,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,0,Mailed check,21.945,433.5,0.0
Female,0,0,1,23,1,0.0,DSL,0.0,0.0,0.0,1.0,0.0,0.0,One year,1,Electronic check,54.39500000000001,1119.35,0.0
Male,0,0,0,1,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Mailed check,22.385000000000005,20.35,0.0
Female,1,1,0,1,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,76.50500000000001,69.55,1.0
Female,0,1,1,40,1,1.0,Fiber optic,0.0,1.0,1.0,0.0,1.0,0.0,Month-to-month,1,Credit card (automatic),105.985,3915.4,0.0
Female,1,0,0,2,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,77.71500000000002,142.35,1.0
Male,0,0,0,18,0,0.0,DSL,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Mailed check,27.665,476.8,0.0
Male,0,1,1,19,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,One year,0,Mailed check,21.78,344.5,0.0
Female,0,0,1,1,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,1,Electronic check,98.285,89.35,0.0
Female,0,1,0,40,1,1.0,Fiber optic,1.0,0.0,1.0,0.0,1.0,1.0,One year,0,Bank transfer (automatic),116.325,4228.55,0.0
Male,0,1,1,12,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,1,Electronic check,23.265,306.05,0.0
Female,0,1,0,44,1,1.0,Fiber optic,1.0,1.0,1.0,1.0,0.0,0.0,Month-to-month,1,Credit card (automatic),104.61,4060.55,0.0
Female,0,0,0,10,1,1.0,Fiber optic,0.0,1.0,0.0,0.0,0.0,0.0,Month-to-month,1,Credit card (automatic),89.10000000000001,818.05,1.0
Female,0,1,1,33,1,1.0,DSL,0.0,0.0,1.0,1.0,1.0,1.0,One year,1,Electronic check,87.06500000000001,2531.4,0.0
Female,0,1,0,60,0,0.0,DSL,1.0,1.0,0.0,1.0,0.0,0.0,Two year,0,Bank transfer (automatic),41.470000000000006,2288.7,0.0
Male,0,0,0,33,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,0,Mailed check,22.385000000000005,689.75,0.0
Male,0,0,0,6,1,0.0,DSL,1.0,0.0,1.0,1.0,1.0,1.0,Two year,1,Mailed check,88.275,493.4,0.0
Male,0,1,0,44,0,0.0,DSL,0.0,1.0,1.0,0.0,1.0,1.0,Two year,0,Bank transfer (automatic),59.730000000000004,2390.45,0.0
Male,0,0,0,3,1,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Month-to-month,0,Mailed check,22.77,57.5,0.0
Female,0,1,1,70,1,1.0,Fiber optic,0.0,1.0,1.0,1.0,1.0,1.0,Two year,1,Electronic check,121.22000000000001,7689.8,0.0
Male,0,0,0,51,1,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,Two year,0,Mailed check,27.225,1234.6,0.0
Female,0,0,0,9,1,0.0,Fiber optic,0.0,0.0,0.0,0.0,1.0,1.0,Month-to-month,1,Bank transfer (automatic),99.88000000000001,809.75,1.0
Female,0,1,1,72,1,0.0,Fiber optic,1.0,1.0,1.0,1.0,1.0,1.0,Two year,1,Bank transfer (automatic),119.13000000000001,7679.65,0.0
Female,1,1,0,50,1,1.0,Fiber optic,1.0,1.0,1.0,0.0,1.0,1.0,Month-to-month,0,Bank transfer (automatic),119.62500000000001,5431.9,0.0
Female,0,1,0,62,1,0.0,DSL,1.0,1.0,1.0,0.0,1.0,0.0,Two year,1,Credit card (automatic),79.2,4284.2,0.0
